                      FILENAME      TOKENS SENTENCES
                   as.2012.raw       38235      4471
                as.2013_20.raw       40523      4718
                as.2013_48.raw       15776      1747
                as.2014_15.raw       68202      8647
                as.2014_23.raw       70187      8772
                as.2014_35.raw       62153      7754
                as.2014_41.raw       58871      7302
                as.2014_42.raw      112876     14368
                as.2014_49.raw       47469      5960
                as.2014_52.raw       41201      5169
                as.2015_06.raw           0         0
                as.2015_11.raw         499        66
                as.2015_14.raw         482        58
                as.2015_18.raw          35         6
                as.2015_22.raw           0         0
                as.2015_27.raw           0         0
                as.2015_32.raw           0         0
                as.2015_35.raw           0         0
                as.2015_40.raw           0         0
                as.2015_48.raw           0         0
                as.2016_30.raw       43753      5322
                as.2016_50.raw      209285     26313
                as.2017_17.raw      352000     41974
                   TOTAL STATS     1161547    142647
                  UNIQUE STATS       44850     26985

         TOTAL OBTAINED TOKENS      251059
