                      FILENAME      TOKENS SENTENCES
                   bn.2012.raw    26709421   3034423
                bn.2013_20.raw    16934184   1698258
                bn.2013_48.raw    12490241   1684666
                bn.2014_15.raw    16708941   2007864
                bn.2014_23.raw    18920221   2406166
                bn.2014_35.raw    12605002   1498912
                bn.2014_41.raw    10815373   1232047
                bn.2014_42.raw    15318458   1601159
                bn.2014_49.raw     7342768    783490
                bn.2014_52.raw     6355932    695551
                bn.2015_06.raw     5071051    495947
                bn.2015_11.raw     5743858    585500
                bn.2015_14.raw     5553421    556466
                bn.2015_18.raw     6078955    614367
                bn.2015_22.raw     6045490    610445
                bn.2015_27.raw     4901464    505382
                bn.2015_32.raw     5108800    531201
                bn.2015_35.raw     4690985    485793
                bn.2015_40.raw     3343023    346786
                bn.2015_48.raw     4463455    461214
                bn.2016_30.raw    11904878   1174555
                bn.2016_50.raw    97065794  10235820
                bn.2017_17.raw   131628223  14424154
                   TOTAL STATS   435799938  47670166
                  UNIQUE STATS     1339035   5655699

         TOTAL OBTAINED TOKENS    57574511
