                      FILENAME      TOKENS SENTENCES
                   gu.2012.raw    30521609   2692053
                gu.2013_20.raw     6032815    543426
                gu.2013_48.raw     3292170    304608
                gu.2014_15.raw     5442790    488632
                gu.2014_23.raw     5751526    514347
                gu.2014_35.raw     5209161    461807
                gu.2014_41.raw     4866474    436337
                gu.2014_42.raw     9941512    885743
                gu.2014_49.raw     4362542    389171
                gu.2014_52.raw     3277193    290994
                gu.2015_06.raw     2401299    212691
                gu.2015_11.raw     3515889    302383
                gu.2015_14.raw     3310160    284201
                gu.2015_18.raw     3299080    283918
                gu.2015_22.raw     3634087    311480
                gu.2015_27.raw     3238385    279464
                gu.2015_32.raw     3407795    293814
                gu.2015_35.raw     3207278    278326
                gu.2015_40.raw     2367820    206352
                gu.2015_48.raw     4382182    396104
                gu.2016_30.raw     8423018    680457
                gu.2016_50.raw    21496863   1922773
                gu.2017_17.raw    43441623   3834871
                   TOTAL STATS   184823271  16293952
                  UNIQUE STATS     1268185   3444570

         TOTAL OBTAINED TOKENS    42918006
