                      FILENAME      TOKENS SENTENCES
                   kn.2012.raw    25144545   2339030
                kn.2013_20.raw    13735739   1215071
                kn.2013_48.raw     2109989    191089
                kn.2014_15.raw     4359732    388698
                kn.2014_23.raw     4328662    394324
                kn.2014_35.raw     3976998    360168
                kn.2014_41.raw     3976990    362568
                kn.2014_42.raw     7352606    669547
                kn.2014_49.raw     3116420    283836
                kn.2014_52.raw     2505378    227422
                kn.2015_06.raw     2025372    180060
                kn.2015_11.raw     3119633    277390
                kn.2015_14.raw     2955779    260490
                kn.2015_18.raw     2969290    263921
                kn.2015_22.raw     2445972    224069
                kn.2015_27.raw     2062752    188518
                kn.2015_32.raw     2854471    251740
                kn.2015_35.raw     2704073    224844
                kn.2015_40.raw     1524445    130232
                kn.2015_48.raw     2565917    217699
                kn.2016_30.raw    10977599    958122
                kn.2016_50.raw    16360821   1591453
                kn.2017_17.raw    71928218   7045201
                   TOTAL STATS   195101401  18245492
                  UNIQUE STATS     2812020   3855792

         TOTAL OBTAINED TOKENS    42264163
