                      FILENAME      TOKENS SENTENCES
                   ml.2012.raw    43070940   4394365
                ml.2013_20.raw    19367408   1946306
                ml.2013_48.raw     5455642    557087
                ml.2014_15.raw     7530445    779900
                ml.2014_23.raw     7984185    824086
                ml.2014_35.raw     7316458    751147
                ml.2014_41.raw     6611718    678038
                ml.2014_42.raw    13009048   1343328
                ml.2014_49.raw     5567118    575894
                ml.2014_52.raw     4606154    480152
                ml.2015_06.raw     4004739    415471
                ml.2015_11.raw     4591169    479189
                ml.2015_14.raw     4192064    435291
                ml.2015_18.raw     4538874    473402
                ml.2015_22.raw     5156760    538910
                ml.2015_27.raw     4638123    487015
                ml.2015_32.raw     4939899    516396
                ml.2015_35.raw     3506475    367425
                ml.2015_40.raw     2404283    249812
                ml.2015_48.raw     3038725    317550
                ml.2016_30.raw    11199613   1181242
                ml.2016_50.raw    45661888   4777749
                ml.2017_17.raw   250013009  24576480
                   TOTAL STATS   468404737  47146235
                  UNIQUE STATS     7854382   9499327

         TOTAL OBTAINED TOKENS    96639606
