                      FILENAME      TOKENS SENTENCES
                   mr.2012.raw    38807939   3639629
                mr.2013_20.raw    14405936   1345519
                mr.2013_48.raw     6900099    805132
                mr.2014_15.raw    16305950   1516136
                mr.2014_23.raw    16941260   1543704
                mr.2014_35.raw     8436311    786060
                mr.2014_41.raw     8412729    787201
                mr.2014_42.raw    31884645   3012544
                mr.2014_49.raw    20429166   1925555
                mr.2014_52.raw    15272009   1437424
                mr.2015_06.raw    12657069   1196583
                mr.2015_11.raw     8367530    785038
                mr.2015_14.raw     5001982    477039
                mr.2015_18.raw     4244917    402401
                mr.2015_22.raw     4740651    449026
                mr.2015_27.raw     3794374    370774
                mr.2015_32.raw     3947866    380938
                mr.2015_35.raw     2702755    267639
                mr.2015_40.raw     2706369    265401
                mr.2015_48.raw     2762525    262636
                mr.2016_30.raw    17387549   1469212
                mr.2016_50.raw    30473322   2735856
                mr.2017_17.raw    78981176   7332357
                   TOTAL STATS   355564129  33193804
                  UNIQUE STATS     2191877   5535293

         TOTAL OBTAINED TOKENS    64491157
