                      FILENAME      TOKENS SENTENCES
                   or.2012.raw       87153     10674
                or.2013_20.raw       68665      8336
                or.2013_48.raw       42423      4974
                or.2014_15.raw       65907      7930
                or.2014_23.raw       73439      8527
                or.2014_35.raw       65659      7862
                or.2014_41.raw       60385      7279
                or.2014_42.raw      128318     15297
                or.2014_49.raw       52453      6275
                or.2014_52.raw       48765      5623
                or.2015_06.raw        2598       309
                or.2015_11.raw       44037      5152
                or.2015_14.raw       38847      4523
                or.2015_18.raw       36682      4324
                or.2015_22.raw       46285      5369
                or.2015_27.raw       41182      4752
                or.2015_32.raw       43104      5114
                or.2015_35.raw       40516      4767
                or.2015_40.raw       31010      3579
                or.2015_48.raw       48157      5579
                or.2016_30.raw      264478     33818
                or.2016_50.raw      328547     38578
                or.2017_17.raw      697047     78216
                   TOTAL STATS     2355657    276857
                  UNIQUE STATS       72313     44278

         TOTAL OBTAINED TOKENS      433273
