                      FILENAME      TOKENS SENTENCES
                   pa.2012.raw     7488411    656524
                pa.2013_20.raw     1613438    151687
                pa.2013_48.raw      652553     61596
                pa.2014_15.raw     1015151    111251
                pa.2014_23.raw     1171736    127265
                pa.2014_35.raw      977553    107137
                pa.2014_41.raw      927334    102136
                pa.2014_42.raw     1783767    199684
                pa.2014_49.raw      805669     89317
                pa.2014_52.raw      598506     67676
                pa.2015_06.raw      451182     49280
                pa.2015_11.raw      640826     72045
                pa.2015_14.raw      567765     65036
                pa.2015_18.raw      581515     65404
                pa.2015_22.raw      647276     73181
                pa.2015_27.raw      577486     67399
                pa.2015_32.raw      608618     71746
                pa.2015_35.raw      571728     68647
                pa.2015_40.raw      463682     56019
                pa.2015_48.raw      594487     71029
                pa.2016_30.raw     1097168    121463
                pa.2016_50.raw     3342636    375793
                pa.2017_17.raw     6926133    649560
                   TOTAL STATS    34104620   3480875
                  UNIQUE STATS      261430    782731

         TOTAL OBTAINED TOKENS     9264755
