                      FILENAME      TOKENS SENTENCES
                   te.2012.raw    45706128   4440231
                te.2013_20.raw    16537931   1725517
                te.2013_48.raw     4010077    404023
                te.2014_15.raw     7244046    729773
                te.2014_23.raw     7853517    775905
                te.2014_35.raw     6506021    645190
                te.2014_41.raw     6181370    610695
                te.2014_42.raw    12097866   1189874
                te.2014_49.raw     4942942    481632
                te.2014_52.raw     4173068    417315
                te.2015_06.raw     3471382    344556
                te.2015_11.raw     4467607    435809
                te.2015_14.raw     4287190    412597
                te.2015_18.raw     4670788    447717
                te.2015_22.raw     4501257    432888
                te.2015_27.raw     4046638    389550
                te.2015_32.raw     4510919    441426
                te.2015_35.raw     3714586    359817
                te.2015_40.raw     2603743    253025
                te.2015_48.raw     3666570    354745
                te.2016_30.raw    12848300   1206965
                te.2016_50.raw    37987151   4192500
                te.2017_17.raw    78151970   8112627
                   TOTAL STATS   284181067  28804377
                  UNIQUE STATS     3417370   5673212

         TOTAL OBTAINED TOKENS    59429119
